winner_name,county,party,reported_poll_stations,total_poll_stations,votes_percent,votes_count,disputed_votes,valid_votes,rejected_votes,registered_voters
STANLEY K KIPTIS,BARINGO,JP,840,892,72.98,130456,14,178757,3291,232258
JOYCE CHERONO LABOSO,BOMET,JP,724,728,67.2,175932,2,261795,5240,322012
WYCLIFFE WAFULA WANGAMATI,BUNGOMA,FORD-KENYA,1144,1186,48.25,195429,36,405069,8084,559850
SOSPETERS ODEKE OJAAMONG,BUSIA,ODM,751,760,49.52,134582,58,271765,5481,351048
ALEX TANUI TOLGOS,ELGEYO/MARAKWET,JP,519,529,59.6,85395,10,143277,1012,180664
LENNY MAXWELL KIVUTI,EMBU,MCCP,700,710,38.79,95949,15,247327,5785,309468
ALI  BUNOW KORANE,GARISSA,JP,352,381,51.48,55335,5,107491,3493,163350
CYPRIAN ARCHELIUS OTIENO AWITI,HOMA BAY,ODM,992,1062,52.51,196997,13,375154,4088,476875
MOHAMED ABDI KUTI,ISIOLO,IND,178,195,41.81,20348,3,48673,843,75338
JOSEPH JAMA OLE LENKU,KAJIADO,JP,747,797,54.21,165879,225,305968,4863,411193
WYCLIFFE AMBETSA OPARANYAH,KAKAMEGA,ODM,1456,1497,70.54,380344,353,539168,9623,743736
PAUL KIPRONO CHEPKWONY,KERICHO,JP,747,780,95.22,275647,5,289499,3692,375668
FERDINARD NDUNGU WAITITU BABAYAO,KIAMBU,JP,1900,1963,78.16,743063,546,950677,11378,1180920
AMASON JEFFAH KINGI,KILIFI,ODM,952,988,67.09,210627,10,313945,4770,508068
ANNE MUMBI WAIGURU,KIRINYAGA,JP,651,659,54.09,159606,1,295071,6507,349836
JAMES ELVIS OMARIBA ONGWAE,KISII,ODM,1088,1126,51.0,198649,293,389541,7861,546580
PETER ANYANG' NYONG'O,KISUMU,ODM,984,1027,63.09,263520,20,417713,6817,539210
CHARITY KALUKI NGILU,KITUI,NARC,1384,1454,47.41,162768,24,343303,4729,474512
SALIM MVURYA MGALA,KWALE,JP,575,612,64.94,111809,2,172186,2731,281041
NDIRITU MURIITHI,LAIKIPIA,IND,530,531,50.47,100109,7,198342,1219,246487
FAHIM YASIN TWAHA,LAMU,JP,167,167,46.57,22969,48,49324,776,69776
ALFRED NGANGA MUTUA,MACHAKOS,MCCP,1297,1332,53.25,243042,6,456382,7090,620254
KIVUTHA KIBWANA,MAKUENI,WDM-K,1044,1060,87.74,286146,0,326118,3694,423310
ALI IBRAHIM ROBA,MANDERA,JP,367,401,53.81,67470,8,125377,1773,175642
MOHAMUD MOHAMED ALI,MARSABIT,JP,364,384,50.62,53270,1,105239,2386,141708
KIRAITU MURUNGI,MERU,JP,1443,1473,52.07,276361,451,530734,12331,702480
ZAKARIA OKOTH OBADO,MIGORI,ODM,785,826,62.39,189841,12,304279,4163,388633
HASSAN ALI JOHO,MOMBASA,ODM,903,934,64.89,213824,24,329495,5509,580223
WA-IRIA MWANGI,MURANG'A,JP,1129,1131,68.97,348877,409,505831,8195,587126
MIKE SONKO MBUVI GIDION KIOKO,NAIROBI CITY,JP,3229,3378,53.48,832397,599,1556441,21458,2250853
LEE MAIYANI KINYAJUI,NAKURU,JP,1719,1806,84.51,601771,3,712095,11029,949618
STEPHEN KIPYEGO SANG,NANDI,JP,773,796,91.26,238603,48,261468,4527,346007
SAMUEL KUNTAI TUNAI,NAROK,JP,723,750,52.66,143047,519,271620,5625,341730
JOHN OBIERO NYAGARAMA,NYAMIRA,ODM,521,553,31.45,60496,461,192346,3737,278853
FRANCIS THUITA KIMEMIA,NYANDARUA,JP,641,654,79.35,223878,11,282136,4613,335634
PATRICK WAHOME GAKURU,NYERI,JP,901,917,72.63,280037,8,385588,8464,456949
MOSES KASAINIE LENOLKULAL,SAMBURU,JP,282,284,63.35,40095,0,63295,1114,82787
CORNEL RASANGA AMOTH,SIAYA,ODM,876,916,51.41,186378,522,362551,3305,457953
GRANTON GRAHAM SAMBOJA,TAITA TAVETA,WDM-K,340,354,36.22,39022,5,107741,2078,155716
DHADHO GADDAE GODHANA,TANA RIVER,ODM,292,307,29.34,24469,8,83405,1852,118327
ONESMUS MUTHOMI NJUKI,THARAKA - NITHI,JP,592,625,69.38,113742,21,163934,2162,213154
PATRICK SIMIYU E S KHAEMBA,TRANS NZOIA,FORD-KENYA,598,639,55.09,126420,25,229485,3944,339622
JOSPHAT KOLI NANOK,TURKANA,ODM,572,644,59.32,68396,9,115306,3032,191435
JACKSON KIPLAGAT MANDAGO,UASIN GISHU,JP,838,868,57.2,188471,335,329480,3832,450055
WILBER KHASILWA OTTICHILO,VIHIGA,ODM,517,548,41.88,79564,6,189991,3079,272409
MOHAMED ABDI MAHAMUD,WAJIR,JP,395,434,41.22,44850,30,108805,2662,162902
JOHN KROP LONYANG'APUO,WEST POKOT,KANU,680,712,57.85,83641,2,144577,4066,180232
