winner_name,county,party,reported_poll_stations,total_poll_stations,votes_percent,votes_count,disputed_votes,valid_votes,rejected_votes,registered_voters
STANLEY K KIPTIS,BARINGO,JP,892,892,72.7,137908,14,189700,3464,232258
JOYCE CHERONO LABOSO,BOMET,JP,727,728,67.19,176511,2,262700,5240,322012
WYCLIFFE WAFULA WANGAMATI,BUNGOMA,FORD-KENYA,1181,1186,48.06,200995,37,418178,8240,559850
SOSPETERS ODEKE OJAAMONG,BUSIA,ODM,755,760,49.37,134963,58,273395,5492,351048
ALEX TANUI TOLGOS,ELGEYO/MARAKWET,JP,525,529,59.72,86421,10,144718,1016,180664
MARTIN NYAGA WAMBORA,EMBU,JP,709,710,38.97,97544,38,250327,5805,309468
ALI  BUNOW KORANE,GARISSA,JP,377,381,51.33,59647,5,116210,3683,163350
CYPRIAN ARCHELIUS OTIENO AWITI,HOMA BAY,ODM,1030,1062,52.34,203809,13,389384,4139,476875
MOHAMED ABDI KUTI,ISIOLO,IND,195,195,41.96,22669,3,54020,868,75338
JOSEPH JAMA OLE LENKU,KAJIADO,JP,795,797,53.78,174709,225,324842,4983,411193
WYCLIFFE AMBETSA OPARANYAH,KAKAMEGA,ODM,1494,1497,70.62,389880,356,552047,9717,743736
PAUL KIPRONO CHEPKWONY,KERICHO,JP,779,780,95.26,287953,5,302272,3758,375668
FERDINARD NDUNGU WAITITU BABAYAO,KIAMBU,JP,1957,1963,78.15,765440,546,979406,11524,1180920
AMASON JEFFAH KINGI,KILIFI,ODM,985,988,67.17,218403,15,325153,4879,508068
ANNE MUMBI WAIGURU,KIRINYAGA,JP,651,659,54.09,159606,1,295071,6507,349836
JAMES ELVIS OMARIBA ONGWAE,KISII,ODM,1104,1126,51.18,202303,293,395289,7902,546580
PETER ANYANG' NYONG'O,KISUMU,ODM,999,1027,62.95,266850,21,423907,6851,539210
CHARITY KALUKI NGILU,KITUI,NARC,1449,1454,47.34,169442,24,357907,4853,474512
SALIM MVURYA MGALA,KWALE,JP,612,612,64.97,119914,2,184574,2773,281041
NDIRITU MURIITHI,LAIKIPIA,IND,531,531,50.5,100342,7,198691,1220,246487
FAHIM YASIN TWAHA,LAMU,JP,167,167,46.57,22969,48,49324,776,69776
ALFRED NGANGA MUTUA,MACHAKOS,MCCP,1331,1332,53.18,249545,6,469235,7194,620254
KIVUTHA KIBWANA,MAKUENI,WDM-K,1060,1060,87.76,291535,32,332206,3749,423310
ALI IBRAHIM ROBA,MANDERA,JP,398,401,53.68,72786,8,135603,1822,175642
MOHAMUD MOHAMED ALI,MARSABIT,JP,384,384,50.72,56142,1,110685,2417,141708
KIRAITU MURUNGI,MERU,JP,1473,1473,52.02,281737,451,541547,12472,702480
ZAKARIA OKOTH OBADO,MIGORI,ODM,806,826,62.52,195854,13,313251,4222,388633
HASSAN ALI JOHO,MOMBASA,ODM,933,934,64.93,221095,24,340522,5618,580223
WA-IRIA MWANGI,MURANG'A,JP,1131,1131,69.01,349727,409,506804,8204,587126
MIKE SONKO MBUVI GIDION KIOKO,NAIROBI CITY,JP,3339,3378,53.45,860567,599,1609915,22442,2250853
LEE MAIYANI KINYAJUI,NAKURU,JP,1800,1806,84.49,631458,4,747398,11403,949618
STEPHEN KIPYEGO SANG,NANDI,JP,796,796,91.24,245764,48,269371,4599,346007
SAMUEL KUNTAI TUNAI,NAROK,JP,740,750,52.28,145207,519,277726,5649,341730
JOHN OBIERO NYAGARAMA,NYAMIRA,ODM,540,553,31.79,63407,461,199482,3837,278853
FRANCIS THUITA KIMEMIA,NYANDARUA,JP,650,654,79.35,227226,11,286361,4632,335634
PATRICK WAHOME GAKURU,NYERI,JP,917,917,72.72,285503,8,392619,8486,456949
MOSES KASAINIE LENOLKULAL,SAMBURU,JP,284,284,63.3,40467,0,63929,1123,82787
CORNEL RASANGA AMOTH,SIAYA,ODM,916,916,51.81,196186,522,378655,3361,457953
GRANTON GRAHAM SAMBOJA,TAITA TAVETA,WDM-K,351,354,36.32,40376,5,111166,2102,155716
DHADHO GADDAE GODHANA,TANA RIVER,ODM,307,307,29.69,25951,14,87416,1871,118327
ONESMUS MUTHOMI NJUKI,THARAKA - NITHI,JP,622,625,69.08,119581,21,173095,2709,213154
PATRICK SIMIYU E S KHAEMBA,TRANS NZOIA,FORD-KENYA,624,639,55.25,132871,25,240495,4057,339622
JOSPHAT KOLI NANOK,TURKANA,ODM,642,644,57.88,75824,9,130999,3054,191435
JACKSON KIPLAGAT MANDAGO,UASIN GISHU,JP,866,868,57.23,194952,335,340641,3900,450055
WILBER KHASILWA OTTICHILO,VIHIGA,ODM,545,548,41.24,82498,7,200023,3205,272409
MOHAMED ABDI MAHAMUD,WAJIR,JP,434,434,41.43,49401,33,119241,3145,162902
JOHN KROP LONYANG'APUO,WEST POKOT,KANU,699,712,57.69,85414,2,148067,4075,180232
