winner_name,constituency,county,party,reported_poll_stations,total_poll_stations,votes_percent,votes_count,disputed_votes,valid_votes,rejected_votes,registered_voters
WILLIAM CHEPTUMO KIPKIROR,BARINGO NORTH,BARINGO,JP,173,173,35.72,12493,0,34971,529,42774
JOSHUA CHEPYEGON KANDIE,BARINGO CENTRAL,BARINGO,MCCP,135,135,48.1,15171,13,31543,328,38388
GRACE JELAGAT KIPCHOIM,BARINGO SOUTH,BARINGO,JP,132,132,37.28,10598,3,28429,300,35162
MOSES K LESSONET,ELDAMA RAVINE,BARINGO,JP,154,154,46.65,20669,0,44304,955,54742
DANIEL KAMUREN TUITOEK,MOGOTIO,BARINGO,JP,155,155,53.58,14751,92,27529,384,32276
WILLIAM KAMKET KASSAIT,TIATY,BARINGO,KANU,143,143,61.51,14417,1,23438,934,28916
RONALD KIPROTICH TONUI,BOMET CENTRAL,BOMET,JP,125,126,85.04,41548,0,48856,1154,60115
BEATRICE PAULINE CHERONO KONES,BOMET EAST,BOMET,JP,115,115,53.57,22796,0,42553,1510,52862
GIDEON KIMUTAI KOSKE,CHEPALUNGU,BOMET,CCM,159,160,33.93,19279,1,56820,1068,68544
YEGON BRIGHTON LEONARD,KONOIN,BOMET,JP,156,156,63.12,33836,0,53606,339,67177
DOMINIC KIPKOECH KOSKEI,SOTIK,BOMET,JP,171,171,66.09,39918,0,60395,1825,73314
MOSES WEKESA MWAMBU MABONGA,BUMULA,BUNGOMA,IND,147,148,34.19,18479,1,54053,1404,70683
JAMES LUSWETI MUKWE,KABUCHAI,BUNGOMA,FORD-KENYA,123,123,42.37,18543,0,43761,450,57476
ATHANAS  MISIKO WAFULA WAMUNYINYI,KANDUYI,BUNGOMA,FORD-KENYA,203,204,42.99,33438,22,77775,1624,105565
DIDMUS WEKESA BARASA MUTUA,KIMILILI,BUNGOMA,JP,106,107,51.34,19472,0,37926,424,52268
FRED KAPONDI CHESEBE,MT. ELGON,BUNGOMA,JP,147,152,49.23,24140,0,49039,481,66220
JOHN  WALUKE KOYI,SIRISIA,BUNGOMA,JP,97,99,58.71,17831,1,30373,799,40940
DAVID ESELI SIMIYU,TONGAREN,BUNGOMA,FORD-KENYA,164,164,60.19,33869,3,56274,586,73969
BERNARD ALFRED WEKESA SAMBU,WEBUYE EAST,BUNGOMA,ANC,93,93,36.57,11532,0,31530,337,42263
DANIEL WANYAMA SITATI,WEBUYE WEST,BUNGOMA,JP,89,96,39.9,13671,0,34260,1119,50466
RAPHAEL BITTA  SAUTI WANJALA,BUDALANGI,BUSIA,ODM,83,84,44.62,13348,6,29917,226,38417
JOSEPH H MAERO OYULA,BUTULA,BUSIA,ODM,120,120,29.12,13275,22,45589,467,57685
WILBERFORCE OJIAMBO OUNDO,FUNYULA,BUSIA,ODM,99,99,60.98,21597,5,35417,328,44671
GEOFFREY MAKOKHA ODANGA,MATAYOS,BUSIA,ODM,117,117,51.88,22895,1,44132,1137,56841
SAKWA JOHN BUNYASI,NAMBALE,BUSIA,ANC,86,86,47.11,15639,1,33194,279,42259
EDWARD OKU KAUNYA,TESO NORTH,BUSIA,ANC,118,118,37.28,14462,28,38796,2015,49833
GEOFFREY OMUSE,TESO SOUTH,BUSIA,ODM,136,136,46.49,22747,4,48932,352,61342
JAMES KIPKOSGEI MURGOR,KEIYO NORTH,ELGEYO/MARAKWET,JP,102,103,50.04,16729,6,33432,194,41367
DANIEL KIPKOGEI RONO,KEIYO SOUTH,ELGEYO/MARAKWET,JP,148,149,78.56,33726,0,42928,370,54050
DAVID KANGOGO BOWEN,MARAKWET EAST,ELGEYO/MARAKWET,JP,141,142,49.25,14626,0,29699,81,36428
WILLIAM KIPKEMOI KISANG,MARAKWET WEST,ELGEYO/MARAKWET,JP,134,135,60.32,23450,3,38878,198,48819
JOHN MUCHIRI NYAGA,MANYATTA,EMBU,JP,226,226,42.63,34318,460,80511,1379,99339
CHARLES MURIUKI NJAGAGUA,MBEERE NORTH,EMBU,JP,122,122,61.9,26067,5,42114,1066,51009
GEOFFREY KINGAGI MUTURI,MBEERE SOUTH,EMBU,JP,177,177,31.47,18225,6,57920,1702,72143
ERIC MUCHANGI NJIRU,RUNYENJES,EMBU,JP,183,185,85.54,59530,4,69595,1915,86977
ABDI OMAR SHURIE,BALAMBALA,GARISSA,JP,53,53,63.85,8901,0,13941,879,20145
MOHAMED DAHIR DUALE,DADAAB,GARISSA,KANU,56,56,53.0,9515,5,17952,642,25762
ABDIKHAIM OSMAN MOHAMED,FAFI,GARISSA,KANU,60,61,44.41,5719,5,12879,429,19883
ADEN BARE DUALE,GARISSA TOWNSHIP,GARISSA,JP,90,97,58.16,19538,7,33596,1989,54291
SOPHIA ABDI NOOR,IJARA,GARISSA,PDR,65,68,34.75,5899,0,16975,420,22722
MOHAMED HIRE GARANE,LAGDERA,GARISSA,KANU,46,46,38.47,5283,0,13734,251,20547
GEORGE PETER OPONDO KALUMA,HOMA BAY TOWN,HOMA BAY,ODM,102,105,62.02,25855,28,41686,201,50570
EVE AKINYI OBARA,KABONDO KASIPUL,HOMA BAY,ODM,104,105,65.46,27185,2,41528,157,49432
ANDREW ADIPO OKUOME,KARACHUONYO,HOMA BAY,ODM,170,184,85.33,54639,0,64033,756,84004
CHARLES ONG'ONDO WERE,KASIPUL,HOMA BAY,ODM,111,113,72.34,33670,1,46542,256,57344
MARTIN PETERS OWINO,NDHIWA,HOMA BAY,ODM,182,185,73.22,52049,2,71082,735,85056
LILIAN ACHIENG GOGO,RANGWE,HOMA BAY,ODM,118,118,54.37,23998,0,44135,464,52516
MILLIE GRACE AKOTH ODHIAMBO,SUBA NORTH,HOMA BAY,ODM,136,139,61.09,26525,9,43416,1174,51454
MBADI JOHN NG'ONGO,SUBA SOUTH,HOMA BAY,ODM,113,113,52.25,20649,5,39522,714,46499
HASSAN ODA HULUFO,ISIOLO NORTH,ISIOLO,KPP,136,140,31.54,12068,450,38258,1369,56253
ABDI KOROPU TEPO,ISIOLO SOUTH,ISIOLO,KPP,55,55,25.17,3676,0,14603,68,19085
ELIJAH MEMUSI KANCHORY,KAJIADO CENTRAL,KAJIADO,ODM,123,125,47.48,22622,1,47645,904,56434
PERIS PESI TOBIKO,KAJIADO EAST,KAJIADO,JP,182,184,52.23,39443,4,75511,672,102804
JOSEPH WATHIGO MANJE,KAJIADO NORTH,KAJIADO,JP,196,201,65.72,62061,1,94430,3450,127953
METITO JUDAH KATOO,KAJIADO SOUTH,KAJIADO,JP,138,139,64.74,31491,0,48642,211,59976
GEORGE RISA SUNKUYIA,KAJIADO WEST,KAJIADO,JP,136,148,34.45,17494,0,50787,1119,64026
NICHOLAS  SCOTT TINDI MWALE,BUTERE,KAKAMEGA,ANC,122,124,38.51,17801,10,46224,902,62956
BENARD MASAKA SHINALI,IKOLOMANI,KAKAMEGA,JP,103,103,43.65,15898,5,36424,774,49899
CHRISTOPHER ASEKA WANGAYA,KHWISERO,KAKAMEGA,ANC,103,105,60.89,22294,5,36611,254,48920
ENOCH WAMALWA KIBUNGUCHY,LIKUYANI,KAKAMEGA,FORD-KENYA,120,120,34.19,16010,2,46827,665,63311
AYUB SAVULA ANGATIA,LUGARI,KAKAMEGA,ANC,158,159,71.97,40947,1,56892,1594,77001
TITUS KHAMALA MUKHWANA,LURAMBI,KAKAMEGA,ANC,165,166,43.31,25575,0,59057,3362,80037
MOSES MALULU INJENDI,MALAVA,KAKAMEGA,JP,160,160,33.7,20582,5,61072,1529,82136
JUSTUS  MURUNGA MAKOKHA,MATUNGU,KAKAMEGA,ANC,114,115,38.07,17941,0,47121,1313,61728
BENJAMIN JOMO WASHIALI,MUMIAS EAST,KAKAMEGA,JP,89,91,40.39,13664,5,33831,430,45380
JOHNSON MANYA NAICCA,MUMIAS WEST,KAKAMEGA,ODM,89,92,48.88,16730,0,34229,1340,47492
EMMANUEL WANGWE,NAVAKHOLO,KAKAMEGA,JP,115,118,44.99,17398,2,38675,464,53620
JUSTUS GESITO MUGALI M'MBAYA,SHINYALU,KAKAMEGA,ODM,142,144,39.35,20024,0,50881,452,71256
SYLVANUS MARITIM,AINAMOI,KERICHO,JP,148,149,56.95,32901,0,57768,377,75521
NELSON KOECH,BELGUT,KERICHO,JP,125,127,63.44,34040,0,53661,299,67599
JAPHETH KIPLANGAT MUTAI,BURETI,KERICHO,JP,166,177,68.57,43798,0,63871,1284,82417
KIRUI JOSEPH LIMO,KIPKELION EAST,KERICHO,JP,116,119,61.86,26670,0,43114,258,56486
HILARY KIPLANG'AT KOSGEI,KIPKELION WEST,KERICHO,JP,106,106,64.36,24403,0,37918,582,46512
BENARD KIPSENGERET KOROS,SIGOWET/SOIN,KERICHO,IND,97,102,52.23,19347,0,37041,153,47133
ANNIE WANJIKU KIBEH,GATUNDU NORTH,KIAMBU,JP,126,126,66.32,39448,0,59482,761,67598
MOSES KIARIE KURIA,GATUNDU SOUTH,KIAMBU,JP,140,140,91.64,60867,0,66422,1350,75858
GABRIEL KAGO MUKUHA,GITHUNGURI,KIAMBU,JP,174,174,89.18,77407,1,86801,950,99384
FRANCIS MUNYUA WAITITU,JUJA,KIAMBU,JP,184,184,72.41,67431,11,93130,3443,114761
JAMES GITHUA KAMAU WAMACUKURU,KABETE,KIAMBU,JP,139,139,94.47,68364,15,72366,426,85446
PAUL KOINANGE,KIAMBAA,KIAMBU,JP,152,154,76.73,59756,6,77881,524,95413
JUDE L KANGETHE NJOMO,KIAMBU,KIAMBU,JP,132,132,97.79,66116,0,67609,1121,80730
JONAH MBURU MWANGI,LARI,KIAMBU,JP,141,142,75.95,50932,1,67063,242,76655
PETER MUNGAI MWATHI,LIMURU,KIAMBU,JP,149,153,59.32,42246,1,71217,870,87258
SIMON NGANGA KINGARA,RUIRU,KIAMBU,JP,240,240,87.15,108665,1,124685,1156,159337
PATRICK KIMANI WAINAINA JUNGLE,THIKA TOWN,KIAMBU,IND,228,230,52.42,60028,5,114509,855,147323
TEDDY NGUMBAO MWAMBIRE,GANZE,KILIFI,ODM,132,132,38.76,14703,3,37935,328,54760
PAUL KAHINDI KATANA,KALOLENI,KILIFI,ODM,122,123,44.63,16836,0,37722,411,60470
OWEN YAA BAYA,KILIFI NORTH,KILIFI,ODM,180,182,43.2,27405,0,63435,720,101978
RICHARD KEN CHONGA KITI,KILIFI SOUTH,KILIFI,ODM,147,147,67.15,36449,0,54276,1036,84865
