winner_name,county,party,reported_poll_stations,total_poll_stations,votes_percent,votes_count,disputed_votes,valid_votes,rejected_votes,registered_voters
STANLEY K KIPTIS,BARINGO,JP,892,892,72.7,137908,14,189700,3464,232258
JOYCE CHERONO LABOSO,BOMET,JP,728,728,67.19,176712,2,262994,5240,322012
WYCLIFFE WAFULA WANGAMATI,BUNGOMA,FORD-KENYA,1186,1186,48.09,201824,37,419687,8253,559850
SOSPETERS ODEKE OJAAMONG,BUSIA,ODM,760,760,49.39,135962,58,275293,5514,351048
ALEX TANUI TOLGOS,ELGEYO/MARAKWET,JP,525,529,59.72,86421,10,144718,1016,180664
MARTIN NYAGA WAMBORA,EMBU,JP,710,710,38.94,97602,38,250655,5808,309468
ALI  BUNOW KORANE,GARISSA,JP,378,381,51.26,59684,5,116432,3684,163350
CYPRIAN ARCHELIUS OTIENO AWITI,HOMA BAY,ODM,1056,1062,52.5,209598,13,399270,4169,476875
MOHAMED ABDI KUTI,ISIOLO,IND,195,195,41.96,22669,3,54020,868,75338
JOSEPH JAMA OLE LENKU,KAJIADO,JP,797,797,53.76,174982,225,325508,4983,411193
WYCLIFFE AMBETSA OPARANYAH,KAKAMEGA,ODM,1496,1497,70.6,390164,356,552644,9722,743736
PAUL KIPRONO CHEPKWONY,KERICHO,JP,780,780,95.27,288325,5,302654,3762,375668
FERDINARD NDUNGU WAITITU BABAYAO,KIAMBU,JP,1963,1963,78.16,768086,546,982651,11541,1180920
AMASON JEFFAH KINGI,KILIFI,ODM,988,988,67.19,219236,15,326309,4892,508068
ANNE MUMBI WAIGURU,KIRINYAGA,JP,659,659,54.05,161681,1,299116,6566,349836
JAMES ELVIS OMARIBA ONGWAE,KISII,ODM,1117,1126,51.3,205189,293,399993,7989,546580
PETER ANYANG' NYONG'O,KISUMU,ODM,1016,1027,62.8,271085,21,431655,6874,539210
CHARITY KALUKI NGILU,KITUI,NARC,1454,1454,47.33,170031,24,359255,4863,474512
SALIM MVURYA MGALA,KWALE,JP,612,612,64.97,119914,2,184574,2773,281041
NDIRITU MURIITHI,LAIKIPIA,IND,531,531,50.5,100342,7,198691,1220,246487
FAHIM YASIN TWAHA,LAMU,JP,167,167,46.57,22969,48,49324,776,69776
ALFRED NGANGA MUTUA,MACHAKOS,MCCP,1332,1332,53.21,249954,6,469729,7194,620254
KIVUTHA KIBWANA,MAKUENI,WDM-K,1060,1060,87.76,291535,32,332206,3749,423310
ALI IBRAHIM ROBA,MANDERA,JP,401,401,53.67,72985,8,135988,1822,175642
MOHAMUD MOHAMED ALI,MARSABIT,JP,384,384,50.72,56142,1,110685,2417,141708
KIRAITU MURUNGI,MERU,JP,1473,1473,52.02,281737,451,541547,12472,702480
ZAKARIA OKOTH OBADO,MIGORI,ODM,826,826,62.73,201561,13,321337,4229,388633
HASSAN ALI JOHO,MOMBASA,ODM,934,934,64.94,221363,24,340861,5620,580223
WA-IRIA MWANGI,MURANG'A,JP,1131,1131,69.01,349727,409,506804,8204,587126
MIKE SONKO MBUVI GIDION KIOKO,NAIROBI CITY,JP,3364,3378,53.51,868184,1081,1622536,22496,2250853
LEE MAIYANI KINYAJUI,NAKURU,JP,1806,1806,84.5,633732,4,749960,11427,949618
STEPHEN KIPYEGO SANG,NANDI,JP,796,796,91.24,245764,48,269371,4599,346007
SAMUEL KUNTAI TUNAI,NAROK,JP,750,750,52.23,147161,519,281739,5651,341730
JOHN OBIERO NYAGARAMA,NYAMIRA,ODM,550,553,31.98,64991,461,203238,3865,278853
FRANCIS THUITA KIMEMIA,NYANDARUA,JP,652,654,79.37,227833,11,287061,4634,335634
PATRICK WAHOME GAKURU,NYERI,JP,917,917,72.72,285503,8,392619,8486,456949
MOSES KASAINIE LENOLKULAL,SAMBURU,JP,284,284,63.3,40467,0,63929,1123,82787
CORNEL RASANGA AMOTH,SIAYA,ODM,916,916,51.81,196186,522,378655,3361,457953
GRANTON GRAHAM SAMBOJA,TAITA TAVETA,WDM-K,354,354,36.46,40870,5,112103,2110,155716
DHADHO GADDAE GODHANA,TANA RIVER,ODM,307,307,29.69,25951,14,87416,1871,118327
ONESMUS MUTHOMI NJUKI,THARAKA - NITHI,JP,625,625,69.25,120625,21,174196,2711,213154
PATRICK SIMIYU E S KHAEMBA,TRANS NZOIA,FORD-KENYA,639,639,55.18,135998,25,246450,4099,339622
JOSPHAT KOLI NANOK,TURKANA,ODM,643,644,57.86,76010,9,131361,3054,191435
JACKSON KIPLAGAT MANDAGO,UASIN GISHU,JP,868,868,57.22,195300,335,341330,3905,450055
WILBER KHASILWA OTTICHILO,VIHIGA,ODM,548,548,41.12,82635,7,200976,3220,272409
MOHAMED ABDI MAHAMUD,WAJIR,JP,434,434,41.43,49401,33,119241,3145,162902
JOHN KROP LONYANG'APUO,WEST POKOT,KANU,705,712,57.66,86280,2,149643,4077,180232
