winner_name,county,party,reported_poll_stations,total_poll_stations,votes_percent,votes_count,disputed_votes,valid_votes,rejected_votes,registered_voters
GLADWELL JESIRE CHERUIYOT,BARINGO,KANU,892,892,33.89,64363,24,189930,3974,232258
JOYCE KORIR CHEPKOECH,BOMET,JP,728,728,78.63,206306,562,262368,4506,322012
CATHERINE NANJALA WAMBILIANGA,BUNGOMA,FORD-KENYA,1186,1186,61.78,259115,31,419433,6696,559850
FLORENCE MWIKALI MUTUA,BUSIA,ODM,759,760,53.9,147136,72,272974,6436,351048
JANE JEPKORIR KIPTOO CHEBAIBAI,ELGEYO/MARAKWET,JP,525,529,62.45,90453,7,144851,1110,180664
JANE WANJUKI NJIRU,EMBU,JP,710,710,39.49,98465,22,249330,5971,309468
ANAB MOHAMED GURE,GARISSA,JP,377,381,35.06,39867,432,113699,3824,163350
GLADYS ATIENO NYASUNA WANGA,HOMA BAY,ODM,1051,1062,95.58,378850,13,396355,4598,476875
REHEMA DIDA JALDESA,ISIOLO,JP,195,195,49.07,26544,0,54091,1043,75338
JANET MARANIA TEYIAA,KAJIADO,JP,797,797,57.3,186316,3,325171,6027,411193
ELSIE BUSIHILE MUHANDA,KAKAMEGA,ODM,1496,1497,53.13,290953,396,547657,14577,743736
FLORENCE CHEPNGETICH KOSKEY,KERICHO,JP,780,780,55.59,168223,8,302637,3672,375668
GATHONI WAMUCHOMBA,KIAMBU,JP,1963,1963,94.19,924142,22,981111,11325,1180920
GERTRUDE MBEYU MWANYANJE,KILIFI,ODM,988,988,52.63,171566,14,325976,4188,508068
PURITY WANGUI NGIRICI,KIRINYAGA,JP,659,659,72.97,218526,3,299475,5792,349836
JANET ONGERA,KISII,ODM,1120,1126,42.63,171417,3,402127,8218,546580
ROZAAH AKINYI BUYU,KISUMU,ODM,1014,1027,88.99,383824,12,431334,3344,539210
IRENE MUTHONI KASALU,KITUI,WDM-K,1454,1454,64.82,232228,14,358277,5948,474512
ZULEIKHA JU MA HASSAN,KWALE,ODM,612,612,47.25,87024,2,184160,2497,281041
CATHERINE WANJIKU WARUGURU,LAIKIPIA,JP,531,531,69.82,138641,81,198574,2154,246487
RUWEIDA MOHAMED OBO,LAMU,JP,167,167,47.01,23226,14,49403,745,69776
JOYCE KAMENE,MACHAKOS,WDM-K,1331,1332,46.47,217706,5,468530,7018,620254
ROSE MUSEO MUMO,MAKUENI,WDM-K,1060,1060,68.67,227498,5,331275,5711,423310
AMINA GEDOW HASSAN,MANDERA,EFP,400,401,47.79,64983,7,135978,2205,175642
SAFIA SHEIKH ADAN,MARSABIT,JP,384,384,37.05,41019,0,110708,2644,141708
KAWIRA MWANGAZA,MERU,IND,1473,1473,52.01,281933,359,542109,9205,702480
PAMELA AWUOR OCHIENG,MIGORI,ODM,826,826,60.77,195154,11,321120,4357,388633
ASHA HUSSEIN MOHAMED,MOMBASA,ODM,934,934,54.73,185901,73,339671,6016,580223
MAITU SABINA WANJIRU CHEGE,MURANG'A,JP,1131,1131,77.37,391923,12,506565,7039,587126
ESTHER MUTHONI ROSANNA PASSARIS,NAIROBI CITY,ODM,3361,3378,53.27,864381,1050,1622724,26988,2250853
CHELULE CHEPKORIR LIZA,NAKURU,JP,1806,1806,67.91,509778,59,750718,11066,949618
TECLA CHEBET TUM,NANDI,JP,796,796,92.12,248674,35,269940,3518,346007
ROSELINDA SOIPAN TUYA,NAROK,JP,750,750,43.1,121158,377,281124,3262,341730
JERUSHA MONGINA MOMANYI,NYAMIRA,JP,552,553,44.03,89850,1,204080,6694,278853
FAITH WAIRIMU GITAU,NYANDARUA,JP,651,654,96.09,275378,2,286576,3611,335634
RAHAB MUKAMI WACHIRA,NYERI,JP,917,917,66.76,261859,430,392243,5617,456949
MAISON LESHOOMO,SAMBURU,KANU,284,284,49.38,31518,0,63833,1154,82787
OMBAKA CHRISTINE ODUOR,SIAYA,ODM,916,916,51.31,194113,0,378310,4043,457953
LYDIA HAIKA MNENE MIZIGHI,TAITA TAVETA,JP,354,354,40.55,45530,1,112291,2515,155716
REHEMA HASSAN,TANA RIVER,MCCP,307,307,25.63,22377,7,87314,1083,118327
BEATRICE NKATHA NYAGA,THARAKA - NITHI,JP,625,625,53.85,93659,17,173930,2143,213154
JANET NANGABO WANYAMA,TRANS NZOIA,JP,639,639,40.01,98459,11,246114,5193,339622
JOYCE AKAI EMANIKOR,TURKANA,JP,640,644,40.9,53420,22,130606,2603,191435
GLADYS JEPKOSGEI-BOSS SHOLLEI,UASIN GISHU,JP,868,868,66.49,226050,21,339992,5456,450055
BEATRICE KAHAI ADAGALA,VIHIGA,ANC,548,548,36.23,71674,12,197841,7091,272409
FATUMA GEDI ALI,WAJIR,PDR,434,434,27.89,33376,13,119649,3133,162902
LILIAN CHEPTOO TOMITOM,WEST POKOT,JP,706,712,41.93,62778,2,149724,4268,180232
