winner_name,county,party,reported_poll_stations,total_poll_stations,votes_percent,votes_count,disputed_votes,valid_votes,rejected_votes,registered_voters
STANLEY K KIPTIS,BARINGO,JP,873,892,72.73,134711,14,185216,3436,232258
JOYCE CHERONO LABOSO,BOMET,JP,724,728,67.2,175932,2,261795,5240,322012
WYCLIFFE WAFULA WANGAMATI,BUNGOMA,FORD-KENYA,1152,1186,48.25,196780,36,407803,8115,559850
SOSPETERS ODEKE OJAAMONG,BUSIA,ODM,752,760,49.5,134662,58,272061,5481,351048
ALEX TANUI TOLGOS,ELGEYO/MARAKWET,JP,525,529,59.72,86421,10,144718,1016,180664
MARTIN NYAGA WAMBORA,EMBU,JP,709,710,38.97,97544,38,250327,5805,309468
ALI  BUNOW KORANE,GARISSA,JP,354,381,51.76,55968,5,108124,3493,163350
CYPRIAN ARCHELIUS OTIENO AWITI,HOMA BAY,ODM,1016,1062,52.4,201302,13,384161,4125,476875
MOHAMED ABDI KUTI,ISIOLO,IND,185,195,41.41,20956,3,50608,856,75338
JOSEPH JAMA OLE LENKU,KAJIADO,JP,758,797,54.09,167847,225,310320,4888,411193
WYCLIFFE AMBETSA OPARANYAH,KAKAMEGA,ODM,1458,1497,70.5,380649,356,539952,9624,743736
PAUL KIPRONO CHEPKWONY,KERICHO,JP,758,780,95.23,279508,5,293501,3726,375668
FERDINARD NDUNGU WAITITU BABAYAO,KIAMBU,JP,1939,1963,78.16,758199,546,970097,11465,1180920
AMASON JEFFAH KINGI,KILIFI,ODM,963,988,67.14,213174,10,317488,4802,508068
ANNE MUMBI WAIGURU,KIRINYAGA,JP,651,659,54.09,159606,1,295071,6507,349836
JAMES ELVIS OMARIBA ONGWAE,KISII,ODM,1098,1126,51.19,201362,293,393363,7880,546580
PETER ANYANG' NYONG'O,KISUMU,ODM,987,1027,63.04,263995,20,418777,6823,539210
CHARITY KALUKI NGILU,KITUI,NARC,1434,1454,47.31,167721,24,354545,4838,474512
SALIM MVURYA MGALA,KWALE,JP,586,612,65.11,114654,2,176085,2745,281041
NDIRITU MURIITHI,LAIKIPIA,IND,531,531,50.5,100342,7,198691,1220,246487
FAHIM YASIN TWAHA,LAMU,JP,167,167,46.57,22969,48,49324,776,69776
ALFRED NGANGA MUTUA,MACHAKOS,MCCP,1304,1332,53.15,244241,6,459499,7116,620254
KIVUTHA KIBWANA,MAKUENI,WDM-K,1052,1060,87.75,288648,0,328957,3705,423310
ALI IBRAHIM ROBA,MANDERA,JP,371,401,53.89,68082,8,126346,1785,175642
MOHAMUD MOHAMED ALI,MARSABIT,JP,379,384,50.83,55540,1,109265,2417,141708
KIRAITU MURUNGI,MERU,JP,1458,1473,51.93,278383,451,536038,12393,702480
ZAKARIA OKOTH OBADO,MIGORI,ODM,798,826,62.52,193808,12,309991,4204,388633
HASSAN ALI JOHO,MOMBASA,ODM,926,934,64.88,219240,24,337891,5586,580223
WA-IRIA MWANGI,MURANG'A,JP,1130,1131,68.99,349288,409,506297,8202,587126
MIKE SONKO MBUVI GIDION KIOKO,NAIROBI CITY,JP,3244,3378,53.49,836502,599,1563823,21484,2250853
LEE MAIYANI KINYAJUI,NAKURU,JP,1756,1806,84.5,614987,4,727827,11183,949618
STEPHEN KIPYEGO SANG,NANDI,JP,782,796,91.24,241858,48,265066,4560,346007
SAMUEL KUNTAI TUNAI,NAROK,JP,730,750,52.38,143731,519,274418,5639,341730
JOHN OBIERO NYAGARAMA,NYAMIRA,ODM,523,553,31.49,60824,461,193163,3743,278853
FRANCIS THUITA KIMEMIA,NYANDARUA,JP,650,654,79.35,227226,11,286361,4632,335634
PATRICK WAHOME GAKURU,NYERI,JP,909,917,72.64,282598,8,389042,8476,456949
MOSES KASAINIE LENOLKULAL,SAMBURU,JP,282,284,63.35,40095,0,63295,1114,82787
CORNEL RASANGA AMOTH,SIAYA,ODM,892,916,51.75,190961,522,368993,3324,457953
GRANTON GRAHAM SAMBOJA,TAITA TAVETA,WDM-K,340,354,36.22,39022,5,107741,2078,155716
DHADHO GADDAE GODHANA,TANA RIVER,ODM,304,307,29.58,25663,14,86746,1866,118327
ONESMUS MUTHOMI NJUKI,THARAKA - NITHI,JP,608,625,68.95,116259,21,168612,2694,213154
PATRICK SIMIYU E S KHAEMBA,TRANS NZOIA,FORD-KENYA,611,639,55.19,129596,25,234806,4001,339622
JOSPHAT KOLI NANOK,TURKANA,ODM,614,644,58.13,72820,9,125270,3044,191435
JACKSON KIPLAGAT MANDAGO,UASIN GISHU,JP,846,868,57.16,190056,335,332492,3853,450055
WILBER KHASILWA OTTICHILO,VIHIGA,ODM,527,548,41.56,80460,6,193591,3122,272409
MOHAMED ABDI MAHAMUD,WAJIR,JP,428,434,41.48,48841,33,117744,3145,162902
JOHN KROP LONYANG'APUO,WEST POKOT,KANU,681,712,57.83,83813,2,144939,4069,180232
