winner_name,constituency,county,party,reported_poll_stations,total_poll_stations,votes_percent,votes_count,disputed_votes,valid_votes,rejected_votes,registered_voters
ABDI MUDE IBRAHIM,LAFEY,MANDERA,EFP,24,36,53.12,3983,6,7498,28,14321
OMAR MOHAMED  MAALIM HASSAN,MANDERA EAST,MANDERA,EFP,84,84,43.09,11440,1,26551,403,38965
BASHIR SHEIKH ABDULLAH,MANDERA NORTH,MANDERA,JP,87,99,66.34,23028,0,34710,39,51231
ADAN HAJI ALI,MANDERA SOUTH,MANDERA,JP,67,71,54.12,11030,4,20380,564,25833
ADAN HAJI YUSSUF,MANDERA WEST,MANDERA,EFP,56,58,55.63,11814,1,21237,50,26816
MARSELINO MALIMO ARBELLE,LAISAMIS,MARSABIT,JP,73,79,58.42,11355,0,19438,703,28104
QALICHA GUFU WARIO,MOYALE,MARSABIT,JP,124,136,34.03,13821,0,40610,1023,55664
FRANCIS CHACHU GANYA,NORTH HORR,MARSABIT,FAP,97,101,47.45,10616,0,22371,960,30858
DIDO ALI RASO,SAKU,MARSABIT,JP,65,68,62.5,13016,1,20826,99,27082
MUGAMBI MURWITHANIA RINDIKIRI,BUURI,MERU,JP,157,160,31.16,17159,0,55065,1843,76033
MOSES NGUCHINE KIRIMA,CENTRAL IMENTI,MERU,JP,149,150,21.99,12315,1,55999,870,70124
CYPRIAN KUBAI IRINGO,IGEMBE CENTRAL,MERU,JP,172,181,47.92,28232,2,58914,1254,83912
RICHARD MAORE MAOKA,IGEMBE NORTH,MERU,JP,148,151,33.92,17271,0,50917,1074,67350
JOHN PAUL MWIRIGI,IGEMBE SOUTH,MERU,IND,139,144,39.29,19624,2,49943,382,68166
ABDUL RAHIM DAWOOD,NORTH IMENTI,MERU,JP,177,177,42.84,29042,4,67788,1022,89447
KATHURI MURUNGI,SOUTH IMENTI,MERU,IND,215,216,38.35,32754,1,85413,1120,107414
JOSPHAT GICHUNGE MWIRABUA KABEABEA,TIGANIA EAST,MERU,PNU,162,163,53.49,32497,0,60756,1415,75920
JOHN KANYUITHIA MUTUNGA,TIGANIA WEST,MERU,JP,131,131,37.02,18324,0,49492,2988,64114
JOHN WALTER OWINO,AWENDO,MIGORI,ODM,100,101,49.95,20458,0,40957,569,48293
MARWA KEMERO MAISORI KITAYAMA,KURIA EAST,MIGORI,JP,79,80,58.12,15376,0,26456,761,35154
