winner_name,county,party,reported_poll_stations,total_poll_stations,votes_percent,votes_count,disputed_votes,valid_votes,rejected_votes,registered_voters
STANLEY K KIPTIS,BARINGO,JP,844,892,72.87,130849,14,179572,3395,232258
JOYCE CHERONO LABOSO,BOMET,JP,724,728,67.2,175932,2,261795,5240,322012
WYCLIFFE WAFULA WANGAMATI,BUNGOMA,FORD-KENYA,1146,1186,48.24,195784,36,405880,8101,559850
SOSPETERS ODEKE OJAAMONG,BUSIA,ODM,752,760,49.5,134662,58,272061,5481,351048
ALEX TANUI TOLGOS,ELGEYO/MARAKWET,JP,521,529,59.51,85542,10,143750,1012,180664
MARTIN NYAGA WAMBORA,EMBU,JP,704,710,38.8,96410,15,248462,5797,309468
ALI  BUNOW KORANE,GARISSA,JP,352,381,51.48,55335,5,107491,3493,163350
CYPRIAN ARCHELIUS OTIENO AWITI,HOMA BAY,ODM,992,1062,52.51,196997,13,375154,4088,476875
MOHAMED ABDI KUTI,ISIOLO,IND,181,195,41.53,20609,3,49627,843,75338
JOSEPH JAMA OLE LENKU,KAJIADO,JP,751,797,54.22,166767,225,307565,4883,411193
WYCLIFFE AMBETSA OPARANYAH,KAKAMEGA,ODM,1456,1497,70.54,380344,353,539168,9623,743736
PAUL KIPRONO CHEPKWONY,KERICHO,JP,748,780,95.21,276185,5,290067,3700,375668
FERDINARD NDUNGU WAITITU BABAYAO,KIAMBU,JP,1900,1963,78.16,743063,546,950677,11378,1180920
AMASON JEFFAH KINGI,KILIFI,ODM,955,988,67.12,211383,10,314913,4777,508068
ANNE MUMBI WAIGURU,KIRINYAGA,JP,651,659,54.09,159606,1,295071,6507,349836
JAMES ELVIS OMARIBA ONGWAE,KISII,ODM,1090,1126,51.05,199222,293,390280,7865,546580
PETER ANYANG' NYONG'O,KISUMU,ODM,984,1027,63.09,263520,20,417713,6817,539210
CHARITY KALUKI NGILU,KITUI,NARC,1384,1454,47.41,162768,24,343303,4729,474512
SALIM MVURYA MGALA,KWALE,JP,576,612,65.0,112165,2,172573,2735,281041
NDIRITU MURIITHI,LAIKIPIA,IND,531,531,50.5,100342,7,198691,1220,246487
FAHIM YASIN TWAHA,LAMU,JP,167,167,46.57,22969,48,49324,776,69776
ALFRED NGANGA MUTUA,MACHAKOS,MCCP,1299,1332,53.24,243373,6,457124,7096,620254
KIVUTHA KIBWANA,MAKUENI,WDM-K,1045,1060,87.75,286516,0,326518,3698,423310
ALI IBRAHIM ROBA,MANDERA,JP,367,401,53.81,67470,8,125377,1773,175642
MOHAMUD MOHAMED ALI,MARSABIT,JP,366,384,50.5,53270,1,105492,2386,141708
KIRAITU MURUNGI,MERU,JP,1447,1473,52.05,277009,451,532224,12354,702480
ZAKARIA OKOTH OBADO,MIGORI,ODM,788,826,62.49,191043,12,305704,4184,388633
HASSAN ALI JOHO,MOMBASA,ODM,903,934,64.89,213824,24,329495,5509,580223
WA-IRIA MWANGI,MURANG'A,JP,1129,1131,68.97,348877,409,505831,8195,587126
MIKE SONKO MBUVI GIDION KIOKO,NAIROBI CITY,JP,3231,3378,53.47,832750,599,1557407,21463,2250853
LEE MAIYANI KINYAJUI,NAKURU,JP,1732,1806,84.54,606545,3,717477,11098,949618
STEPHEN KIPYEGO SANG,NANDI,JP,779,796,91.24,240605,48,263706,4557,346007
SAMUEL KUNTAI TUNAI,NAROK,JP,728,750,52.5,143614,519,273559,5639,341730
JOHN OBIERO NYAGARAMA,NYAMIRA,ODM,522,553,31.44,60596,461,192750,3742,278853
FRANCIS THUITA KIMEMIA,NYANDARUA,JP,643,654,79.36,224526,11,282932,4616,335634
PATRICK WAHOME GAKURU,NYERI,JP,904,917,72.62,281026,8,386964,8471,456949
MOSES KASAINIE LENOLKULAL,SAMBURU,JP,282,284,63.35,40095,0,63295,1114,82787
CORNEL RASANGA AMOTH,SIAYA,ODM,878,916,51.45,186893,522,363282,3308,457953
GRANTON GRAHAM SAMBOJA,TAITA TAVETA,WDM-K,340,354,36.22,39022,5,107741,2078,155716
DHADHO GADDAE GODHANA,TANA RIVER,ODM,293,307,29.47,24628,8,83575,1853,118327
ONESMUS MUTHOMI NJUKI,THARAKA - NITHI,JP,593,625,69.44,114085,21,164291,2168,213154
PATRICK SIMIYU E S KHAEMBA,TRANS NZOIA,FORD-KENYA,598,639,55.09,126420,25,229485,3944,339622
JOSPHAT KOLI NANOK,TURKANA,ODM,592,644,58.3,70427,9,120800,3037,191435
JACKSON KIPLAGAT MANDAGO,UASIN GISHU,JP,838,868,57.2,188471,335,329480,3832,450055
WILBER KHASILWA OTTICHILO,VIHIGA,ODM,518,548,41.89,79699,6,190271,3084,272409
MOHAMED ABDI MAHAMUD,WAJIR,JP,403,434,41.35,45948,33,111131,2844,162902
JOHN KROP LONYANG'APUO,WEST POKOT,KANU,681,712,57.83,83813,2,144939,4069,180232
